,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1
30,KOHAL ZETA.GC,,0.98  0.94  1.01,163  140  177,22  9  13,/  26  11  15  /,25  8  17,-4  -2  -2,73%  69%  75%,112  98  122,36%  41%  33%,3  0  3,3  1  2,0  -1  +1,,,suzu ZETA.GC,,1.16  1.17  1.16,219  285  170,15  8  7,/  14  7  7  /,6  3  3,+1  +1  0,57%  56%  58%,157  216  113,16%  16%  17%,4  3  1,1  1  0,+3  +2  +1,KOHAL ZETA.GC,,1.13  1.09  1.16,192  200  188,13  5  8,/  12  5  7  /,16  5  11,+1  0  +1,79%  71%  83%,118  118  119,39%  36%  42%,2  0  2,2  1  1,0  -1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,romia ZETA.GC,,0.89  0.80  0.95,134  129  145,20  8  12,/  26  11  15  /,6  2  4,-6  -3  -3,68%  63%  71%,104  114  98,23%  24%  23%,4  1  3,3  1  2,+1  0  +1,,,KOHAL ZETA.GC,,0.83  0.78  0.86,134  94  166,9  4  5,/  14  6  8  /,9  3  6,-5  -2  -3,67%  67%  67%,107  83  125,32%  50%  24%,1  0  1,1  0  1,0  0  0,romia ZETA.GC,,0.54  0.46  0.59,49  52  49,2  1  1,/  12  5  7  /,5  2  3,-10  -4  -6,68%  71%  67%,42  42  42,5%  0%  8%,0  0  0,2  0  2,-2  0  -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,kaajak Z10,,1.62  1.67  1.57,310  297  317,55  27  28,/  23  10  13  /,8  1  7,+32  +17  +15,73%  70%  76%,198  191  204,35%  44%  25%,8  3  5,1  0  1,+7  +3  +4,2.0,0.0,kaajak Z10,,1.43  1.49  1.36,269  280  260,25  14  11,/  15  8  7  /,7  1  6,+10  +6  +4,69%  62%  77%,182  178  186,32%  46%  22%,4  2  2,0  0  0,+4  +2  +2,kaajak Z10,,1.82  1.85  1.78,351  319  379,30  13  17,/  8  2  6  /,1  0  1,+22  +11  +11,77%  80%  75%,216  207  223,38%  42%  30%,4  1  3,1  0  1,+3  +1  +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Freyy Z10,,1.10  1.01  1.20,212  182  235,36  14  22,/  31  16  15  /,18  12  6,+5  -2  +7,79%  83%  76%,141  123  157,39%  40%  38%,3  0  3,7  3  4,-4  -3  -1,14.0,12.0,qxv Z10,,1.08  0.88  1.28,228  210  247,19  9  10,/  16  9  7  /,5  3  2,+3  0  +3,77%  69%  85%,158  143  173,29%  24%  32%,1  0  1,2  2  0,-1  -2  +1,Freyy Z10,,1.20  1.25  1.15,243  250  238,19  9  10,/  13  5  8  /,10  6  4,+6  +4  +2,82%  90%  75%,169  193  149,38%  35%  40%,0  0  0,5  2  3,-5  -2  -3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,qxv Z10,,1.09  1.24  0.98,214  231  200,35  19  16,/  28  12  16  /,10  5  5,+7  +7  0,75%  78%  72%,144  148  140,23%  19%  27%,2  1  1,3  2  1,-1  -1  0,13.0,9.0,Freyy Z10,,1.01  0.78  1.25,181  130  232,17  5  12,/  18  11  7  /,8  6  2,-1  -6  +5,77%  77%  77%,117  70  164,40%  50%  36%,3  0  3,2  1  1,+1  -1  +2,qxv Z10,,1.09  1.59  0.68,199  258  150,16  10  6,/  12  3  9  /,5  2  3,+4  +7  -3,73%  90%  58%,127  156  104,16%  15%  17%,1  1  0,1  0  1,0  +1  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ALMO Z10,,0.86  0.64  1.09,152  112  188,26  9  17,/  31  16  15  /,9  2  7,-5  -7  +2,71%  65%  76%,103  68  136,36%  32%  39%,5  3  2,10  9  1,-5  -6  +1,,,ALMO Z10,,0.87  0.38  1.36,140  67  214,15  3  12,/  16  10  6  /,4  1  3,-1  -7  +6,73%  54%  92%,94  43  145,67%  75%  65%,1  0  1,8  7  1,-7  -7  0,ALMO Z10,,0.86  0.91  0.82,164  170  160,11  6  5,/  15  6  9  /,5  1  4,-4  0  -4,68%  80%  58%,114  101  125,22%  22%  22%,4  3  1,2  2  0,+2  +1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,kenobi Z10,,0.76  0.91  0.65,141  156  125,21  12  9,/  34  16  18  /,17  8  9,-13  -4  -9,83%  87%  80%,92  98  86,27%  31%  23%,5  2  3,4  0  4,+1  +2  -1,,,kenobi Z10,,0.74  0.68  0.80,127  128  126,11  6  5,/  18  10  8  /,9  4  5,-7  -4  -3,85%  85%  85%,77  74  80,31%  24%  40%,3  1  2,2  0  2,+1  +1  0,kenobi Z10,,0.79  1.13  0.50,155  193  125,10  6  4,/  16  6  10  /,8  4  4,-6  0  -6,82%  90%  75%,109  129  93,23%  39%  12%,2  1  1,2  0  2,0  +1  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,WanZeru EP,,1.04  0.97  1.11,236  219  261,38  19  19,/  38  19  19  /,6  1  5,0  0  0,60%  60%  61%,160  148  174,20%  22%  18%,7  2  5,3  2  1,+4  0  +4,,,Minny EP,,1.19  1.14  1.23,202  193  211,21  9  12,/  17  10  7  /,6  6  0,+4  -1  +5,77%  69%  85%,141  124  158,44%  39%  48%,3  2  1,1  0  1,+2  +2  0,Nunmeister EP,,0.95  0.99  0.90,187  235  131,14  10  4,/  17  9  8  /,7  1  6,-3  +1  -4,64%  67%  60%,132  152  109,30%  27%  36%,1  1  0,3  1  2,-2  0  -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Minny EP,,0.97  1.08  0.83,181  192  173,32  16  16,/  35  18  17  /,10  9  1,-3  -2  -1,73%  72%  74%,129  133  125,35%  36%  33%,6  4  2,5  3  2,+1  +1  0,,,WanZeru EP,,1.17  0.98  1.36,268  238  298,22  10  12,/  21  11  10  /,6  1  5,+1  -1  +2,62%  54%  69%,177  154  200,20%  26%  16%,5  1  4,2  2  0,+3  -1  +4,MaFiN EP,,0.93  1.16  0.64,168  200  131,12  8  4,/  16  8  8  /,10  8  2,-4  0  -4,73%  83%  60%,117  141  88,13%  14%  11%,3  1  2,2  1  1,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
