,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1
20,jovahnii Blinn,,1.05  0.78  1.27,228  183  259,31  11  20,/  29  14  15  /,20  6  14,+2  -3  +5,74%  59%  86%,143  122  160,30%  38%  25%,6  1  5,3  3  0,+3  -2  +5,,,jovahnii Blinn,,1.01  0.74  1.12,246  225  255,14  3  11,/  15  5  10  /,11  2  9,-1  -2  +1,71%  40%  83%,156  148  160,31%  44%  27%,4  1  3,2  2  0,+2  -1  +3,Spaz Blinn,,0.88  0.64  1.17,140  163  113,11  7  4,/  13  10  3  /,9  7  2,-2  -3  +1,77%  67%  90%,92  106  76,18%  15%  27%,0  0  0,1  0  1,-1  0  -1,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,yiinel ZMM.B,,1.19  1.04  1.40,219  195  249,49  18  31,/  41  22  19  /,19  8  11,+8  -4  +12,75%  63%  85%,153  138  166,27%  32%  24%,5  2  3,4  2  2,+1  0  +1,1.0,2.0,yiinel ZMM.B,,1.43  1.31  1.55,279  294  265,22  10  12,/  15  8  7  /,9  5  4,+7  +2  +5,75%  67%  83%,192  202  181,33%  37%  28%,3  1  2,3  2  1,0  -1  +1,Nanners ZMM.B,,1.57  2.12  1.30,247  313  215,18  8  10,/  6  1  5  /,6  3  3,+12  +7  +5,89%  83%  92%,176  221  154,37%  62%  23%,2  0  2,1  1  0,+1  -1  +2,Tim ZMM.B,,0.85  1.16  0.44,247  295  184,18  12  6,/  19  9  10  /,10  5  5,-1  +3  -4,86%  92%  78%,162  211  98,31%  28%  40%,5  3  2,4  1  3,+1  +2  -1
23,Nanners ZMM.B,,1.08  1.26  0.99,222  239  205,51  27  24,/  40  20  20  /,22  8  14,+11  +7  +4,79%  77%  82%,150  159  142,29%  35%  23%,6  2  4,5  5  0,+1  -3  +4,11.0,13.0,kev ZMM.B,,1.07  0.83  1.30,203  153  255,19  7  12,/  16  9  7  /,10  7  3,+3  -2  +5,83%  75%  92%,140  90  190,32%  21%  36%,2  0  2,1  0  1,+1  0  +1,Tim ZMM.B,,1.51  1.38  1.57,286  276  292,18  5  13,/  10  4  6  /,7  4  3,+8  +1  +7,83%  83%  83%,178  154  190,18%  0%  31%,3  2  1,1  0  1,+2  +2  0,yiinel ZMM.B,,0.80  0.39  1.34,176  84  300,13  2  11,/  18  12  6  /,6  3  3,-5  -10  +5,71%  50%  100%,111  63  174,23%  11%  29%,1  0  1,0  0  0,+1  0  +1
24,Tim ZMM.B,,1.05  1.00  1.05,223  215  218,47  21  26,/  46  24  22  /,25  11  14,+1  -3  +4,81%  80%  82%,140  143  137,23%  16%  31%,9  5  4,9  2  7,0  +3  -3,13.0,5.0,Nanners ZMM.B,,1.02  1.06  0.97,210  253  169,17  10  7,/  16  9  7  /,11  4  7,+1  +1  0,88%  92%  83%,137  162  111,35%  35%  36%,3  2  1,1  1  0,+2  +1  +1,yiinel ZMM.B,,1.35  1.44  1.31,202  221  194,14  6  8,/  8  2  6  /,4  0  4,+6  +4  +2,78%  83%  75%,149  158  145,25%  44%  16%,1  1  0,1  0  1,0  +1  -1,Blahst ZMM.B,,0.67  0.35  1.09,152  106  213,10  4  6,/  19  12  7  /,4  1  3,-9  -8  -1,62%  58%  67%,114  78  163,27%  18%  33%,3  1  2,3  3  0,0  -2  +2
25,kev ZMM.B,,0.90  0.78  0.95,185  152  219,42  16  26,/  46  23  23  /,29  17  12,-4  -7  +3,79%  73%  85%,121  94  147,31%  24%  35%,4  1  3,3  0  3,+1  +1  0,8.0,13.0,Tim ZMM.B,,0.80  0.46  1.13,136  103  170,11  4  7,/  17  11  6  /,8  2  6,-6  -7  +1,75%  67%  83%,92  70  113,19%  13%  24%,1  0  1,4  1  3,-3  -1  -2,Blahst ZMM.B,,1.28  1.49  1.18,258  333  222,18  7  11,/  10  4  6  /,3  2  1,+8  +3  +5,89%  100%  83%,161  224  130,26%  27%  25%,3  1  2,3  1  2,0  0  0,kev ZMM.B,,0.66  0.82  0.45,172  191  148,13  8  5,/  18  10  8  /,6  5  1,-5  -2  -3,67%  67%  67%,103  118  83,35%  41%  29%,1  1  0,0  0  0,+1  +1  0
26,Blahst ZMM.B,,0.89  0.73  1.12,184  138  215,41  14  27,/  46  26  20  /,8  3  5,-5  -12  +7,70%  57%  82%,118  98  136,23%  25%  22%,7  2  5,11  9  2,-4  -7  +3,,,Blahst ZMM.B,,0.71  0.33  1.08,141  73  210,13  3  10,/  17  10  7  /,1  0  1,-4  -7  +3,63%  33%  92%,88  55  121,15%  33%  8%,1  0  1,5  5  0,-4  -5  +1,kev ZMM.B,,0.97  0.70  1.11,181  73  236,10  1  9,/  12  4  8  /,13  5  8,-2  -3  +1,89%  83%  92%,118  52  151,26%  0%  38%,1  0  1,2  0  2,-1  0  -1,Nanners ZMM.B,,0.64  0.61  0.69,210  187  242,16  9  7,/  18  10  8  /,5  1  4,-2  -1  -1,62%  58%  67%,142  124  167,19%  21%  17%,1  0  1,3  3  0,-2  -3  +1
27,roompa AMB,,1.09  0.84  1.32,226  150  327,50  17  33,/  46  26  20  /,19  10  9,+4  -9  +13,75%  76%  73%,145  100  194,22%  17%  25%,7  3  4,9  6  3,-2  -3  +1,,,satellite AMB,,1.27  1.33  1.21,207  282  133,17  11  6,/  11  7  4  /,4  3  1,+6  +4  +2,75%  67%  83%,155  212  98,22%  28%  13%,3  1  2,2  2  0,+1  -1  +2,MICKNUTTY333 AMB,,0.90  0.95  0.78,208  220  186,14  9  5,/  15  10  5  /,2  2  0,-1  -1  0,56%  58%  50%,136  138  132,45%  48%  42%,3  2  1,3  1  2,0  +1  -1,roompa AMB,,1.49  0.90  1.94,298  150  409,21  5  16,/  14  7  7  /,13  5  8,+7  -2  +9,95%  100%  92%,183  97  248,15%  6%  19%,4  0  4,4  3  1,0  -3  +3
28,Neon AMB,,1.00  0.85  1.15,212  181  261,48  20  28,/  48  28  20  /,17  10  7,0  -8  +8,65%  58%  73%,142  125  161,18%  20%  15%,10  2  8,6  4  2,+4  -2  +6,,,roompa AMB,,1.26  1.19  1.34,269  213  327,23  9  14,/  17  9  8  /,5  4  1,+6  0  +6,71%  83%  58%,161  133  189,24%  15%  32%,1  1  0,2  0  2,-1  +1  -2,James AMB,,0.81  0.83  0.77,199  203  192,13  9  4,/  17  11  6  /,3  2  1,-4  -2  -2,67%  58%  83%,131  122  149,21%  47%  6%,2  2  0,0  0  0,+2  +2  0,Neon AMB,,1.44  1.60  1.32,297  339  267,21  10  11,/  15  7  8  /,9  5  4,+6  +3  +3,90%  100%  83%,198  239  166,18%  23%  14%,2  1  1,1  0  1,+1  +1  0
29,James AMB,,0.98  0.98  0.97,201  212  186,46  25  21,/  49  28  21  /,16  7  9,-3  -3  0,65%  61%  70%,131  136  125,26%  29%  23%,5  3  2,4  2  2,+1  +1  0,,,James AMB,,0.98  0.90  1.06,165  160  171,14  7  7,/  18  10  8  /,9  4  5,-4  -3  -1,63%  50%  75%,110  108  113,24%  18%  32%,2  1  1,2  2  0,0  -1  +1,Neon AMB,,0.62  0.63  0.58,97  106  82,7  5  2,/  14  9  5  /,2  2  0,-7  -4  -3,39%  42%  33%,63  66  55,24%  29%  11%,1  0  1,3  2  1,-2  -2  0,MICKNUTTY333 AMB,,1.23  1.31  1.17,166  201  141,13  8  5,/  13  7  6  /,11  6  5,0  +1  -1,95%  100%  92%,105  122  93,14%  19%  11%,2  1  1,0  0  0,+2  +1  +1
